Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,has_cabin,family_size,is_alone,fare_per_person,title,age_group,fare_bin,sex_encoded,Embarked_C,Embarked_Q,Embarked_S,title_Master,title_Miss,title_Mrs,title_Rare,age_group_encoded,fare_bin_encoded
0,3,male,-0.5348911628688886,1,0,-0.5024451714361923,S,0,0.059159876663617626,0,-0.45479780086724353,Mr,Adult,Low,0,False,False,True,False,False,False,False,2,0
1,1,female,0.6683917564561223,1,0,0.7868452935884461,C,1,0.059159876663617626,0,0.4389942769104231,Mrs,Adult,VHigh,1,True,False,False,False,False,True,False,2,3
1,3,female,-0.23407043303763592,0,0,-0.4888542575852486,S,0,-0.5609748304808925,1,-0.3347569491715175,Miss,Adult,Medium,1,False,False,True,False,True,False,False,2,1
1,1,female,0.4427762090826827,1,0,0.4207302360686478,S,1,0.059159876663617626,0,0.18518743753380743,Mrs,Adult,VHigh,1,False,False,True,False,False,True,False,2,3
0,3,male,0.4427762090826827,0,0,-0.4863374216869257,S,0,-0.5609748304808925,1,-0.3312673895291999,Mr,Adult,Medium,0,False,False,True,False,False,False,False,2,1
0,3,male,-0.3092756154954491,0,0,-0.47811642890864375,Q,0,-0.5609748304808925,1,-0.31986909191353363,Mr,Adult,Medium,0,False,True,False,False,False,False,False,2,1
0,1,male,1.8716746757811333,0,0,0.395813560675251,S,1,-0.5609748304808925,1,0.8918232651031247,Mr,Adult,VHigh,0,False,False,True,False,False,False,False,2,3
0,3,male,-2.038994812025152,3,1,-0.22408312108167944,S,0,1.9195639980971482,0,-0.43832707935550436,Master,Child,High,0,False,False,True,True,False,False,False,0,2
1,3,female,-0.15886525057982273,0,2,-0.4242561406845337,S,0,0.6792945838081278,0,-0.4523941921856151,Mrs,Adult,Medium,1,False,False,True,False,False,True,False,2,1
1,2,female,-1.136532622531394,1,0,-0.04295550208861426,C,0,0.059159876663617626,0,-0.13625963012563605,Mrs,Teen,High,1,True,False,False,False,False,True,False,1,2
1,3,female,-1.8885844471095259,1,1,-0.312172377522981,S,1,0.6792945838081278,0,-0.40059330775657653,Miss,Child,High,1,False,False,True,False,True,False,False,0,2
1,1,female,2.172495405612386,0,0,-0.11384570873513637,S,1,-0.5609748304808925,1,0.18518743753380743,Miss,Adult,High,1,False,False,True,False,True,False,False,2,2
0,3,male,-0.685301527784515,0,0,-0.4863374216869257,S,0,-0.5609748304808925,1,-0.3312673895291999,Mr,Adult,Medium,0,False,False,True,False,False,False,False,2,1
0,3,male,0.7435969389139355,1,5,-0.01870931177853076,S,0,3.1598334123861687,0,-0.4312681987076162,Mr,Adult,VHigh,0,False,False,True,False,False,False,False,2,3
0,3,female,-1.136532622531394,0,0,-0.4902797934380587,S,0,-0.5609748304808925,1,-0.33673343575292625,Miss,Teen,Low,1,False,False,True,False,True,False,False,1,0
1,2,female,1.9468798582389464,0,0,-0.3262666585535892,S,0,-0.5609748304808925,1,-0.10933139627779945,Mrs,Adult,High,1,False,False,True,False,False,True,False,2,2
0,3,male,-2.038994812025152,4,1,-0.06199888922968463,Q,0,2.5396987052416584,0,-0.42048379771778693,Master,Child,High,0,False,True,False,True,False,False,False,0,2
1,2,male,0.06675029679361683,0,0,-0.3866707201133388,S,0,-0.5609748304808925,1,-0.19308082769342225,Mr,Adult,Medium,0,False,False,True,False,False,False,False,2,1
0,3,female,0.14195547925143,1,0,-0.2859972841804228,S,0,0.059159876663617626,0,-0.30474673624758597,Mrs,Adult,High,1,False,False,True,False,False,True,False,2,2
1,3,female,-0.5724937540977952,0,0,-0.5029485386158568,C,0,-0.5609748304808925,1,-0.35429848316849616,Mrs,Adult,Low,1,True,False,False,False,False,True,False,2,0
0,2,male,0.4427762090826827,0,0,-0.12491978668775715,S,0,-0.5609748304808925,1,0.1698333751076099,Mr,Adult,High,0,False,False,True,False,False,False,False,2,2
1,2,male,0.36757102662486957,0,0,-0.3866707201133388,S,1,-0.5609748304808925,1,-0.19308082769342225,Mr,Adult,Medium,0,False,False,True,False,False,False,False,2,1
1,3,female,-1.061327440073581,0,0,-0.4867562231804066,Q,0,-0.5609748304808925,1,-0.3318480522536815,Miss,Teen,Medium,1,False,True,False,False,True,False,False,1,1
1,1,male,-0.08366006812200955,0,0,0.06635974158478332,S,1,-0.5609748304808925,1,0.4350399079237488,Mr,Adult,VHigh,0,False,False,True,False,False,False,False,2,3
0,3,female,-1.5877637172782733,3,1,-0.22408312108167944,S,0,1.9195639980971482,0,-0.43832707935550436,Miss,Child,High,1,False,False,True,False,True,False,False,0,2
